httparse	1.10.1	MIT OR Apache-2.0	https://github.com/seanmonstar/httparse	registry+https://github.com/rust-lang/crates.io-index
httpdate	1.0.3	MIT OR Apache-2.0	https://github.com/pyfisch/httpdate	registry+https://github.com/rust-lang/crates.io-index
hyper	1.9.0	MIT	https://github.com/hyperium/hyper	registry+https://github.com/rust-lang/crates.io-index
hyper-rustls	0.27.9	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/hyper-rustls	registry+https://github.com/rust-lang/crates.io-index
hyper-tls	0.6.0	MIT/Apache-2.0	https://github.com/hyperium/hyper-tls	registry+https://github.com/rust-lang/crates.io-index
hyper-util	0.1.20	MIT	https://github.com/hyperium/hyper-util	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone	0.1.65	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone	registry+https://github.com/rust-lang/crates.io-index
icu_collections	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_locale_core	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_normalizer	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_normalizer_data	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_properties	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_properties_data	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
icu_provider	2.2.0	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
ident_case	1.0.1	MIT/Apache-2.0	https://github.com/TedDriggs/ident_case	registry+https://github.com/rust-lang/crates.io-index
idna	1.1.0	MIT OR Apache-2.0	https://github.com/servo/rust-url/	registry+https://github.com/rust-lang/crates.io-index
